Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
mpusher/mpush;https://github.com/mpusher/mpush;Java;28/04/2016 01:43;4;3294;9;86641013;96591431;8721828;1740333;3.0;1.0;4.0;16.5
alamkanak/Android-Week-View;https://github.com/alamkanak/Android-Week-View;Java;17/09/2014 10:07;6;3293;4;86644702;96596080;8722510;1740638;2.0;1.0;2.0;13.0
sofastack/sofa-rpc;https://github.com/sofastack/sofa-rpc;Java;09/04/2018 03:32;2;3284;37;86769370;96736576;8737952;1741271;4.0;1.0;4.0;19.0
citerus/dddsample-core;https://github.com/citerus/dddsample-core;Java;31/01/2015 23:21;6;3283;0;86796597;96768009;8741953;1742214;4.0;1.0;3.0;17.0
Genymobile/gnirehtet;https://github.com/Genymobile/gnirehtet;Java;09/02/2017 16:01;4;3281;11;86809627;96783817;8744244;1742712;2.0;1.0;6.0;40.0
google/rejoiner;https://github.com/google/rejoiner;Java;06/12/2017 19:09;3;3279;3;86821138;96797044;8745692;1742981;5.0;1.0;3.0;12.0
Doikki/DKVideoPlayer;https://github.com/Doikki/DKVideoPlayer;Java;11/04/2017 01:33;3;3268;30;86843528;96823167;8748982;1743488;3.0;1.0;4.0;17.0
mcxtzhang/SwipeDelMenuLayout;https://github.com/mcxtzhang/SwipeDelMenuLayout;Java;25/08/2016 08:10;4;3264;2;86846346;96826780;8749518;1743770;2.0;1.0;1.0;7.0
shekhargulati/99-problems;https://github.com/shekhargulati/99-problems;Java;22/11/2015 05:56;5;3263;0;86854382;96837436;8751655;1744285;2.0;1.0;3.0;12.0
Netflix/conductor;https://github.com/Netflix/conductor;Java;07/12/2016 22:48;4;3250;239;87119250;97141798;8777395;1746622;6.0;1.0;4.0;27.0
mybatis/spring-boot-starter;https://github.com/mybatis/spring-boot-starter;Java;25/09/2015 13:05;5;3250;20;87131419;97156623;8779472;1747257;4.0;1.0;2.0;8.0
abel533/MyBatis-Spring-Boot;https://github.com/abel533/MyBatis-Spring-Boot;Java;19/12/2015 09:57;5;3249;0;87136320;97162112;8779861;1747491;4.5;1.0;4.5;19.5
WVector/AppUpdate;https://github.com/WVector/AppUpdate;Java;19/06/2017 09:38;3;3245;3;87142707;97170152;8781194;1747851;3.0;1.0;3.0;13.0
iammert/ScalingLayout;https://github.com/iammert/ScalingLayout;Java;01/10/2017 12:28;3;3243;4;87144502;97172649;8781605;1748157;2.0;1.0;2.0;10.0
bluelinelabs/LoganSquare;https://github.com/bluelinelabs/LoganSquare;Java;17/02/2015 03:24;6;3239;0;87154985;97185480;8783692;1748439;3.0;1.0;2.5;15.0
tangqi92/Android-Tips;https://github.com/tangqi92/Android-Tips;Java;10/09/2015 09:01;5;3236;0;87156169;97187443;8784158;1748797;0.0;1.0;4.0;21.0
sherxon/AlgoDS;https://github.com/sherxon/AlgoDS;Java;16/12/2016 17:01;4;3227;0;87187757;97224538;8789424;1750549;1.0;1.0;8.0;25.0
TeamAmaze/AmazeFileManager;https://github.com/TeamAmaze/AmazeFileManager;Java;14/07/2014 19:47;6;3226;50;87286468;97334937;8800733;1751280;4.0;1.0;4.0;20.0
GitLqr/LQRWeChat;https://github.com/GitLqr/LQRWeChat;Java;07/02/2017 06:32;4;3226;0;87315551;97369203;8805655;1751621;2.0;1.0;4.0;20.0
linyiqun/DataMiningAlgorithm;https://github.com/linyiqun/DataMiningAlgorithm;Java;11/01/2015 02:50;6;3224;0;87335344;97389315;8805771;1752200;2.0;1.0;9.0;35.5
rubensousa/PreviewSeekBar;https://github.com/rubensousa/PreviewSeekBar;Java;24/01/2017 23:52;4;3223;7;87339023;97394073;8806525;1752549;2.0;1.0;3.0;11.0
rovo89/XposedInstaller;https://github.com/rovo89/XposedInstaller;Java;02/04/2012 20:33;8;3222;0;87355764;97413554;8809048;1752888;2.0;1.0;2.0;10.0
bauerca/drag-sort-listview;https://github.com/bauerca/drag-sort-listview;Java;01/06/2012 06:32;8;3218;0;87362948;97422340;8810349;1753288;2.0;1.0;2.0;12.0
chrisbanes/ActionBar-PullToRefresh;https://github.com/chrisbanes/ActionBar-PullToRefresh;Java;04/06/2013 14:44;7;3214;0;87370729;97431741;8811679;1753608;5.0;2.0;3.0;27.0
oracle/opengrok;https://github.com/oracle/opengrok;Java;07/01/2013 11:49;8;3214;161;87555938;97646635;8834749;1763452;3.0;1.0;4.0;23.0
bilibili/boxing;https://github.com/bilibili/boxing;Java;22/01/2017 07:04;4;3213;1;87566737;97659397;8836384;1763860;4.0;1.0;5.0;17.0
code4craft/tiny-spring;https://github.com/code4craft/tiny-spring;Java;10/01/2014 16:37;7;3213;0;87570410;97664173;8837294;1764069;2.0;1.0;2.0;11.0
luojilab/DDComponentForAndroid;https://github.com/luojilab/DDComponentForAndroid;Java;07/09/2017 05:48;3;3213;4;87574463;97669611;8838233;1764527;2.0;1.0;3.0;12.0
googlemaps/android-maps-utils;https://github.com/googlemaps/android-maps-utils;Java;17/05/2013 00:08;7;3204;17;87602876;97702255;8841927;1765330;5.0;1.0;6.0;33.5
Exrick/xboot;https://github.com/Exrick/xboot;Java;23/04/2018 14:44;2;3199;5;87628235;97732557;8846509;1765707;6.0;1.0;2.0;11.0
querydsl/querydsl;https://github.com/querydsl/querydsl;Java;05/08/2011 06:46;9;3197;32;87811538;97953067;8883374;1766239;3.0;1.0;2.0;12.0
hope-for/hope-boot;https://github.com/hope-for/hope-boot;Java;17/10/2018 07:50;2;3196;2;88017699;98187575;8910366;1769762;4.0;1.0;3.0;13.0
tuguangquan/mybatis;https://github.com/tuguangquan/mybatis;Java;03/11/2014 04:51;6;3195;0;88121259;98306017;8924894;1771040;2.0;1.0;4.0;17.0
yangfuhai/afinal;https://github.com/yangfuhai/afinal;Java;17/10/2012 08:10;8;3195;0;88133191;98319797;8926549;1771441;2.0;1.0;6.5;25.0
ragunathjawahar/android-saripaar;https://github.com/ragunathjawahar/android-saripaar;Java;08/09/2012 11:52;8;3190;3;88147547;98336581;8928730;1771738;3.0;2.0;4.0;17.5
pengjianbo/GalleryFinal;https://github.com/pengjianbo/GalleryFinal;Java;21/09/2015 07:01;5;3181;4;88160071;98351600;8930860;1772137;3.0;1.0;4.0;17.0
stylefeng/Guns;https://github.com/stylefeng/Guns;Java;06/07/2017 05:19;3;3178;0;88247228;98448786;8940495;1774139;3.0;1.0;5.0;17.0
cucumber/cucumber;https://github.com/cucumber/cucumber;Java;21/06/2015 04:37;5;3170;40;88530460;98775812;8967489;1784358;1.0;1.0;1.0;8.0
hmkcode/Android;https://github.com/hmkcode/Android;Java;02/09/2013 16:12;7;3164;0;88539602;98786961;8969287;1784756;5.0;1.5;3.0;22.0
daimajia/AndroidViewHover;https://github.com/daimajia/AndroidViewHover;Java;08/08/2014 12:04;6;3161;4;88541423;98789497;8969718;1785053;2.0;1.0;2.0;9.0
ittianyu/BottomNavigationViewEx;https://github.com/ittianyu/BottomNavigationViewEx;Java;12/11/2016 08:39;4;3160;19;88545062;98794161;8970455;1785362;3.0;1.0;3.0;13.0
M66B/NetGuard;https://github.com/M66B/NetGuard;Java;24/10/2015 17:59;5;3159;128;88585201;98838842;8974615;1785885;2.0;1.0;2.0;11.0
google/data-transfer-project;https://github.com/google/data-transfer-project;Java;04/01/2018 21:27;3;3157;36;88647042;98909647;8982583;1786912;3.0;1.0;4.0;18.0
kevinsawicki/http-request;https://github.com/kevinsawicki/http-request;Java;21/10/2011 19:54;9;3157;0;88655348;98919171;8983584;1787284;2.0;1.0;1.0;6.0
UnevenSoftware/LeafPic;https://github.com/UnevenSoftware/LeafPic;Java;07/01/2016 17:24;5;3156;7;88685824;98954270;8987962;1787943;3.0;1.0;3.0;15.0
runelite/runelite;https://github.com/runelite/runelite;Java;30/04/2016 20:48;4;3154;0;89028283;99325834;9016551;1788762;3.0;1.0;3.0;18.0
lisawray/groupie;https://github.com/lisawray/groupie;Java;01/09/2016 20:59;4;3153;26;89036542;99336065;9018293;1789071;3.0;1.0;4.0;14.5
zzz40500/GsonFormat;https://github.com/zzz40500/GsonFormat;Java;31/10/2014 14:16;6;3152;4;89045613;99346452;9019397;1789296;1.0;1.0;2.0;12.0
code4craft/netty-learning;https://github.com/code4craft/netty-learning;Java;19/09/2013 02:24;7;3142;0;89161205;99477514;9034591;1790331;4.0;1.0;4.0;20.0
liuyubobobo/Play-with-Algorithms;https://github.com/liuyubobobo/Play-with-Algorithms;Java;05/07/2016 18:16;4;3139;0;89672857;100004231;9047632;1792384;3.0;1.0;11.0;37.0
networknt/light-4j;https://github.com/networknt/light-4j;Java;09/09/2016 22:28;4;3137;130;89750170;100094045;9058514;1794956;2.0;1.0;4.0;22.0
apache/cordova-android;https://github.com/apache/cordova-android;Java;28/11/2012 08:00;8;3136;0;89782812;100131953;9063086;1795722;2.0;1.0;2.0;10.0
hitherejoe/animate;https://github.com/hitherejoe/animate;Java;16/11/2015 15:06;5;3132;0;89787373;100137578;9063922;1795985;6.0;2.0;4.0;21.0
airbnb/native-navigation;https://github.com/airbnb/native-navigation;Java;16/09/2016 17:16;4;3126;0;89802226;100155867;9066744;1796668;3.0;1.0;2.0;10.0
knowm/XChange;https://github.com/knowm/XChange;Java;02/02/2012 10:48;9;3123;0;90388410;100805863;9123651;1797221;4.0;1.0;4.0;19.0
jfinal/jfinal;https://github.com/jfinal/jfinal;Java;25/04/2012 08:48;8;3120;0;90435701;100861760;9132014;1797745;3.0;1.0;6.0;23.0
ethanhua/Skeleton;https://github.com/ethanhua/Skeleton;Java;30/07/2017 06:42;3;3120;0;90438066;100864777;9132405;1798027;3.0;1.0;2.0;8.0
linkedin/databus;https://github.com/linkedin/databus;Java;17/12/2012 17:49;8;3116;0;90668790;101124945;9160713;1799373;3.0;1.0;6.0;26.0
facebookarchive/network-connection-class;https://github.com/facebookarchive/network-connection-class;Java;18/03/2015 02:16;5;3114;2;90670511;101127191;9161024;1799597;2.5;1.0;3.5;20.0
mock-server/mockserver;https://github.com/mock-server/mockserver;Java;26/02/2013 06:09;8;3113;0;90841869;101318621;9179585;1800765;6.0;1.0;6.0;26.0
promeG/TinyPinyin;https://github.com/promeG/TinyPinyin;Java;30/09/2015 03:24;5;3106;2;90849546;101327409;9180415;1801060;1.0;1.0;1.0;7.0
graphhopper/graphhopper;https://github.com/graphhopper/graphhopper;Java;18/02/2012 19:57;9;3103;30;91032196;101530792;9200437;1802335;4.0;1.0;5.0;25.0
LWJGL/lwjgl3;https://github.com/LWJGL/lwjgl3;Java;23/12/2012 15:40;8;3103;14;92370080;103230474;9437555;2000702;7.0;4.0;13.0;45.0
amulyakhare/TextDrawable;https://github.com/amulyakhare/TextDrawable;Java;19/10/2014 09:56;6;3099;0;92371885;103232914;9437927;2000975;3.0;1.0;6.0;21.0
uber/AutoDispose;https://github.com/uber/AutoDispose;Java;22/12/2016 18:46;4;3096;0;92388769;103253981;9440910;2002326;5.0;1.0;5.0;19.0
nicolasgramlich/AndEngine;https://github.com/nicolasgramlich/AndEngine;Java;22/11/2011 14:20;9;3092;0;92450043;103328720;9454134;2002756;3.0;1.0;4.5;18.0
apache/dubbo-admin;https://github.com/apache/dubbo-admin;Java;11/01/2018 05:30;3;3090;2;92496496;103380877;9458965;2003277;3.0;1.0;6.5;29.5
jboss-javassist/javassist;https://github.com/jboss-javassist/javassist;Java;24/05/2013 08:31;7;3088;17;92605676;103500962;9469660;2003947;1.0;1.0;2.0;12.0
Skykai521/StickerCamera;https://github.com/Skykai521/StickerCamera;Java;05/07/2015 14:12;5;3083;0;92629392;103528600;9473284;2004429;2.0;1.0;3.0;13.0
eclipse/jetty.project;https://github.com/eclipse/jetty.project;Java;14/07/2011 01:11;9;3071;16;93390091;104756441;9937729;2009303;4.0;1.0;3.0;15.0
eishay/jvm-serializers;https://github.com/eishay/jvm-serializers;Java;25/04/2010 03:12;10;3068;0;93420298;104790684;9941436;2009580;5.0;1.0;3.0;28.0
yipianfengye/android-adDialog;https://github.com/yipianfengye/android-adDialog;Java;02/08/2016 08:00;4;3068;0;93423884;104795209;9942124;2009856;2.5;1.0;2.0;11.0
chenBingX/SuperTextView;https://github.com/chenBingX/SuperTextView;Java;17/04/2017 11:32;3;3067;30;93455139;104829153;9944325;2010541;2.0;1.0;2.0;8.5
owncloud/android;https://github.com/owncloud/android;Java;25/08/2012 10:35;8;3062;43;93564657;104951930;9956802;2011356;5.0;1.0;6.0;35.0
keyboardsurfer/Crouton;https://github.com/keyboardsurfer/Crouton;Java;03/08/2012 11:04;8;3059;8;93568394;104956599;9957466;2011645;5.0;1.0;4.0;31.0
fyhertz/libstreaming;https://github.com/fyhertz/libstreaming;Java;30/01/2013 21:24;8;3055;0;93603227;104993285;9959098;2012035;2.0;1.0;6.0;29.0
gabrielemariotti/RecyclerViewItemAnimators;https://github.com/gabrielemariotti/RecyclerViewItemAnimators;Java;22/08/2014 00:24;6;3055;0;93607013;104997973;9959751;2012313;3.0;1.0;3.0;17.0
danylovolokh/VideoPlayerManager;https://github.com/danylovolokh/VideoPlayerManager;Java;09/07/2015 21:32;5;3055;0;93613291;105005996;9961263;2012605;3.0;1.0;4.0;13.0
vert-x3/vertx-examples;https://github.com/vert-x3/vertx-examples;Java;24/02/2015 17:42;6;3053;0;93703912;105105852;9969845;2013589;5.0;2.0;3.0;21.0
zwwill/yanxuan-weex-demo;https://github.com/zwwill/yanxuan-weex-demo;Java;05/09/2017 11:48;3;3052;0;93889465;105308928;9984839;2018945;0.0;1.0;0.0;14.0
alibaba/cobar;https://github.com/alibaba/cobar;Java;15/01/2014 11:20;7;3048;1;93987254;105419683;9996744;2020236;3.0;1.0;4.0;19.0
hongyangAndroid/Highlight;https://github.com/hongyangAndroid/Highlight;Java;08/10/2015 15:03;5;3047;0;93990141;105423370;9997270;2020537;2.0;1.0;2.0;7.0
requery/requery;https://github.com/requery/requery;Java;14/11/2015 00:45;5;3044;43;94038232;105479153;10004717;2020882;3.0;1.0;2.5;10.0
jgilfelt/android-viewbadger;https://github.com/jgilfelt/android-viewbadger;Java;27/09/2011 22:50;9;3041;0;94039878;105481311;10005044;2021074;2.0;1.0;1.0;5.0
BelooS/ChipsLayoutManager;https://github.com/BelooS/ChipsLayoutManager;Java;03/08/2016 19:23;4;3040;11;94053893;105498154;10007613;2021407;3.5;1.0;3.0;11.0
android/views-widgets-samples;https://github.com/android/views-widgets-samples;Java;06/09/2019 21:39;1;3040;0;94093789;105545405;10013790;2022751;2.0;1.0;4.0;17.0
xuexiangjys/XUI;https://github.com/xuexiangjys/XUI;Java;07/01/2019 07:59;2;3031;18;94260187;105736773;10037947;2023601;4.0;1.0;4.0;16.0
sofastack/sofa-jarslink;https://github.com/sofastack/sofa-jarslink;Java;02/02/2018 06:02;3;3024;2;94264164;105741613;10038592;2023825;3.0;1.0;3.0;22.0
MovingBlocks/Terasology;https://github.com/MovingBlocks/Terasology;Java;04/03/2011 03:49;10;3020;55;94521044;106033336;10072621;2024977;3.0;1.0;3.0;14.0
eleme/UETool;https://github.com/eleme/UETool;Java;16/05/2018 08:13;2;3006;8;94526506;106040181;10073676;2025321;4.0;1.0;3.0;13.0
pedrovgs/DraggablePanel;https://github.com/pedrovgs/DraggablePanel;Java;13/04/2014 11:40;6;3004;10;94531995;106046756;10074508;2025588;4.0;1.0;4.0;14.0
apache/kylin;https://github.com/apache/kylin;Java;03/01/2015 08:00;6;3004;0;95492933;107074196;10134664;2035094;4.0;1.0;5.0;27.0
stephanenicolas/robospice;https://github.com/stephanenicolas/robospice;Java;19/09/2012 14:09;8;3003;1;95518842;107105255;10139504;2035563;4.0;2.0;4.0;22.0
lovetuzitong/MultiImageSelector;https://github.com/lovetuzitong/MultiImageSelector;Java;08/04/2015 10:12;5;3001;2;95521734;107108922;10140012;2035852;3.0;1.0;3.0;17.0
crate/crate;https://github.com/crate/crate;Java;10/04/2013 09:17;7;3000;21;96185052;107875557;10240850;2040519;5.0;1.0;5.0;25.0
line/armeria;https://github.com/line/armeria;Java;16/11/2015 04:04;5;2995;180;96559889;108302479;10291598;2045105;5.0;1.0;4.0;19.0
WritingMinds/ffmpeg-android-java;https://github.com/WritingMinds/ffmpeg-android-java;Java;11/09/2014 10:12;6;2992;8;96563386;108307330;10292596;2045473;1.0;1.0;4.0;13.0
facebook/react-native-fbsdk;https://github.com/facebook/react-native-fbsdk;Java;03/08/2015 17:10;5;2990;22;96578565;108325766;10294780;2045948;5.5;2.0;3.0;14.5
google/volley;https://github.com/google/volley;Java;24/01/2017 17:39;4;2988;7;96593441;108342884;10296805;2046274;2.0;1.0;3.0;13.0
dmytrodanylyk/android-process-button;https://github.com/dmytrodanylyk/android-process-button;Java;02/05/2014 20:39;6;2983;1;96595499;108345687;10297264;2046583;4.5;2.0;3.0;19.0
xmuSistone/ViewpagerTransition;https://github.com/xmuSistone/ViewpagerTransition;Java;19/09/2016 05:38;4;2983;1;96597191;108347959;10297610;2046830;2.0;2.0;3.0;13.0
web3j/web3j;https://github.com/web3j/web3j;Java;04/09/2016 05:48;4;2979;86;96662293;108423825;10307782;2047174;2.0;1.0;2.0;9.0
zhou-you/RxEasyHttp;https://github.com/zhou-you/RxEasyHttp;Java;07/06/2017 09:33;3;2967;0;96681573;108446201;10310497;2047582;3.0;1.0;2.0;9.0
Marswin/MarsDaemon;https://github.com/Marswin/MarsDaemon;Java;25/12/2015 03:21;5;2960;0;96684606;108450077;10311020;2047916;2.0;1.0;2.0;8.0
j-easy/easy-rules;https://github.com/j-easy/easy-rules;Java;10/03/2013 14:38;8;2959;10;96697435;108464981;10312869;2048127;4.0;1.0;4.0;17.0
apache/incubator-pinot;https://github.com/apache/incubator-pinot;Java;19/05/2014 23:27;6;2955;9;97560801;109391196;10363733;2061205;5.0;1.0;6.0;31.0
jasonross/Nuwa;https://github.com/jasonross/Nuwa;Java;11/11/2015 14:48;5;2951;0;97561847;109392776;10363999;2061487;3.5;1.0;1.5;11.0
saysky/ForestBlog;https://github.com/saysky/ForestBlog;Java;08/10/2017 15:27;3;2949;0;97592848;109428285;10367996;2063860;3.0;1.0;5.0;18.5
udacity/Sunshine-Version-2;https://github.com/udacity/Sunshine-Version-2;Java;05/03/2015 01:48;6;2946;0;97597358;109433842;10368804;2064122;5.0;2.0;5.5;28.5
undertow-io/undertow;https://github.com/undertow-io/undertow;Java;19/07/2012 00:52;8;2941;0;97795375;109660731;10397277;2064860;3.0;1.0;3.0;17.0
mik3y/usb-serial-for-android;https://github.com/mik3y/usb-serial-for-android;Java;30/06/2013 23:17;7;2938;14;97804031;109671340;10398648;2065473;5.0;1.0;5.0;38.5
wendux/DSBridge-Android;https://github.com/wendux/DSBridge-Android;Java;02/01/2017 11:58;4;2935;2;97807525;109675964;10399461;2065816;2.0;1.0;1.0;6.0
crazyandcoder/citypicker;https://github.com/crazyandcoder/citypicker;Java;12/05/2016 01:21;4;2935;1;97836029;109707320;10402024;2066203;2.0;1.0;2.0;9.0
yui/yuicompressor;https://github.com/yui/yuicompressor;Java;05/12/2008 19:13;12;2931;1;97867106;109743891;10406958;2066610;2.0;1.0;41.0;181.5
guoguibing/librec;https://github.com/guoguibing/librec;Java;09/01/2014 16:06;7;2927;3;101452140;113338832;10415933;2070418;6.0;2.0;6.0;23.0
woxingxiao/BubbleSeekBar;https://github.com/woxingxiao/BubbleSeekBar;Java;03/11/2016 14:31;4;2922;12;101455658;113343201;10416526;2070700;2.0;1.0;2.5;12.0
jd-alexander/LikeButton;https://github.com/jd-alexander/LikeButton;Java;23/12/2015 17:49;5;2916;14;101457727;113346108;10417060;2071035;4.5;1.0;2.5;12.5
huburt-Hu/NewbieGuide;https://github.com/huburt-Hu/NewbieGuide;Java;28/07/2017 06:54;3;2914;20;101461578;113350937;10417762;2071335;3.0;1.0;1.0;8.0
uber/NullAway;https://github.com/uber/NullAway;Java;01/09/2017 17:35;3;2910;0;101487242;113380049;10420814;2071922;1.0;1.0;2.0;9.5
javaee/jersey;https://github.com/javaee/jersey;Java;18/05/2012 11:38;8;2909;30;102077898;114059623;10505530;2078425;4.0;1.0;2.0;11.0
NLPIR-team/NLPIR;https://github.com/NLPIR-team/NLPIR;Java;04/05/2015 06:55;5;2904;0;104621230;116642571;10536639;2112434;3.0;1.0;5.5;30.0
ManuelPeinado/FadingActionBar;https://github.com/ManuelPeinado/FadingActionBar;Java;25/05/2013 11:50;7;2904;0;104625840;116648263;10537405;2112761;5.0;2.0;2.0;12.0
Fuzion24/JustTrustMe;https://github.com/Fuzion24/JustTrustMe;Java;24/07/2014 23:45;6;2900;1;104626994;116649899;10537655;2113005;1.0;1.0;1.0;6.0
race604/FlyRefresh;https://github.com/race604/FlyRefresh;Java;28/05/2015 10:19;5;2888;2;104630121;116653840;10538221;2113274;2.0;1.0;2.5;10.5
spring-cloud/spring-cloud-gateway;https://github.com/spring-cloud/spring-cloud-gateway;Java;16/11/2016 21:42;4;2887;0;104673259;116705955;10546769;2113790;6.0;1.0;3.0;17.0
mplushnikov/lombok-intellij-plugin;https://github.com/mplushnikov/lombok-intellij-plugin;Java;09/10/2013 21:49;7;2887;116;104733965;116780085;10558933;2115306;2.0;1.0;1.0;9.0
YahooArchive/anthelion;https://github.com/YahooArchive/anthelion;Java;27/10/2015 00:42;5;2885;0;105024202;117107876;10595712;2116326;6.0;1.0;9.0;44.0
saulmm/Android-Material-Examples;https://github.com/saulmm/Android-Material-Examples;Java;13/10/2014 16:13;6;2885;0;105026682;117111214;10596326;2116606;3.0;1.0;2.5;12.0
JSQLParser/JSqlParser;https://github.com/JSQLParser/JSqlParser;Java;23/06/2011 22:51;9;2882;24;105083839;117177858;10605379;2118637;4.0;1.0;7.0;25.0
edmodo/cropper;https://github.com/edmodo/cropper;Java;24/07/2013 21:59;7;2875;0;105086936;117181939;10606072;2118950;4.0;1.0;4.0;29.0
tiann/epic;https://github.com/tiann/epic;Java;22/05/2017 02:52;3;2875;3;105095638;117192835;10607884;2119393;3.0;1.0;2.0;12.0
Javen205/IJPay;https://github.com/Javen205/IJPay;Java;02/05/2017 03:15;3;2873;23;105133886;117236789;10612806;2120284;5.0;1.0;1.5;18.5
Red5/red5-server;https://github.com/Red5/red5-server;Java;19/11/2013 05:04;7;2872;44;105158988;117265603;10616130;2120853;4.0;1.0;6.0;24.0
geftimov/android-pathview;https://github.com/geftimov/android-pathview;Java;20/01/2015 15:21;6;2870;2;105162208;117269546;10616599;2121116;5.0;1.0;2.5;12.0
googlesamples/android-vision;https://github.com/googlesamples/android-vision;Java;01/07/2015 21:40;5;2869;0;105176782;117286963;10618840;2121991;3.0;1.0;4.0;16.0
zaaach/CityPicker;https://github.com/zaaach/CityPicker;Java;27/02/2016 09:11;5;2864;1;105180179;117291123;10619331;2122288;2.0;1.0;2.0;9.0
Polidea/RxAndroidBle;https://github.com/Polidea/RxAndroidBle;Java;04/02/2016 13:42;5;2864;43;105210022;117327338;10625361;2122858;3.0;1.0;2.0;9.0
donglua/PhotoPicker;https://github.com/donglua/PhotoPicker;Java;25/06/2015 16:53;5;2860;13;105214639;117333195;10626342;2123141;3.0;1.0;3.5;17.0
anggrayudi/android-hidden-api;https://github.com/anggrayudi/android-hidden-api;Java;16/09/2015 11:58;5;2856;1;105216856;117336071;10626719;2123454;8.5;1.0;30.5;138.0
andOTP/andOTP;https://github.com/andOTP/andOTP;Java;05/07/2017 11:39;3;2856;34;105253711;117376126;10629636;2123902;3.0;1.0;3.0;12.5
immutables/immutables;https://github.com/immutables/immutables;Java;07/07/2013 13:48;7;2854;6;105359167;117501145;10648895;2124603;3.0;1.0;2.0;8.0
aragozin/jvm-tools;https://github.com/aragozin/jvm-tools;Java;28/04/2012 09:28;8;2851;0;105397868;117546962;10655645;2125062;2.0;1.0;4.0;21.0
JavaNoober/BackgroundLibrary;https://github.com/JavaNoober/BackgroundLibrary;Java;09/09/2018 08:52;2;2851;5;105409059;117560056;10657197;2125437;4.0;1.0;4.0;16.0
trinodb/trino;https://github.com/trinodb/trino;Java;19/01/2019 06:38;2;2846;0;106720185;119068563;10851867;2150588;6.0;1.0;5.0;26.0
jeremylong/DependencyCheck;https://github.com/jeremylong/DependencyCheck;Java;03/09/2012 20:43;8;2846;10;106955940;119336802;10877099;2158648;5.0;2.0;7.0;40.0
openaphid/android-flip;https://github.com/openaphid/android-flip;Java;22/05/2012 07:48;8;2845;0;106962863;119345714;10878753;2159013;4.0;1.0;4.5;25.0
lenve/JavaEETest;https://github.com/lenve/JavaEETest;Java;13/12/2016 02:13;4;2845;0;107296130;119725391;10922174;2169048;3.0;1.0;2.0;9.5
SpecialCyCi/AndroidResideMenu;https://github.com/SpecialCyCi/AndroidResideMenu;Java;14/12/2013 15:25;7;2844;7;107298261;119728252;10922610;2169350;4.5;1.5;2.0;6.5
yusugomori/DeepLearning;https://github.com/yusugomori/DeepLearning;Java;01/01/2013 16:23;8;2842;0;107305585;119738128;10924763;2169768;4.0;1.0;22.0;84.0
ZieIony/Carbon;https://github.com/ZieIony/Carbon;Java;04/02/2015 23:11;6;2842;2;107368505;119812509;10935736;2170869;3.0;1.0;3.0;14.0
yarolegovich/SlidingRootNav;https://github.com/yarolegovich/SlidingRootNav;Java;26/03/2017 22:58;3;2839;1;107370648;119815426;10936270;2171124;3.0;1.0;3.0;12.0
jiangqqlmj/FastDev4Android;https://github.com/jiangqqlmj/FastDev4Android;Java;22/10/2015 05:22;5;2837;4;107399176;119847633;10939651;2171536;3.0;1.0;2.0;15.0
nanchen2251/RxJava2Examples;https://github.com/nanchen2251/RxJava2Examples;Java;19/06/2017 05:38;3;2837;0;107404946;119854726;10940730;2171794;2.0;1.0;2.0;11.5
JackyAndroid/AndroidChromium;https://github.com/JackyAndroid/AndroidChromium;Java;04/07/2016 07:28;4;2836;2;107623674;120106535;10973454;2173036;3.0;1.0;3.0;13.0
spockframework/spock;https://github.com/spockframework/spock;Java;12/12/2010 19:02;10;2828;10;107696215;120201870;10988952;2180682;4.0;1.0;4.0;16.0
JulienGenoud/android-percent-support-lib-sample;https://github.com/JulienGenoud/android-percent-support-lib-sample;Java;26/06/2015 12:44;5;2824;2;107697718;120203917;10989250;2180939;5.0;2.0;4.5;21.5
jprante/elasticsearch-jdbc;https://github.com/jprante/elasticsearch-jdbc;Java;02/06/2012 23:17;8;2823;19;107715535;120224313;10991445;2181339;3.0;1.0;5.0;22.0
sunfusheng/StickyHeaderListView;https://github.com/sunfusheng/StickyHeaderListView;Java;22/04/2016 11:39;4;2821;0;107719778;120229585;10992239;2181613;4.0;1.0;2.0;10.0
bin456789/Unblock163MusicClient-Xposed;https://github.com/bin456789/Unblock163MusicClient-Xposed;Java;14/01/2016 11:22;5;2819;13;107723195;120234047;10993049;2181858;4.0;1.0;4.0;28.0
w446108264/XhsEmoticonsKeyboard;https://github.com/w446108264/XhsEmoticonsKeyboard;Java;06/03/2015 02:39;6;2819;7;107731654;120244367;10994580;2182223;3.0;1.0;3.0;18.0
MindorksOpenSource/PRDownloader;https://github.com/MindorksOpenSource/PRDownloader;Java;11/11/2017 19:29;3;2814;5;107737947;120251972;10995615;2182514;1.0;1.0;1.0;9.0
florent37/ShapeOfView;https://github.com/florent37/ShapeOfView;Java;18/02/2018 12:14;3;2808;0;107743261;120258643;10996688;2182814;4.0;2.0;4.0;19.0
bmelnychuk/AndroidTreeView;https://github.com/bmelnychuk/AndroidTreeView;Java;11/02/2015 02:48;6;2807;0;107747708;120264140;10997460;2183543;4.0;1.0;3.0;13.0
square/flow;https://github.com/square/flow;Java;12/09/2013 22:20;7;2806;0;107754607;120272413;10998612;2183842;3.0;1.0;2.0;11.0
