Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
CyC2018/CS-Notes;https://github.com/CyC2018/CS-Notes;Java;13/02/18 14:56:24;3;123340;0;112527;138688;20430;8602;nan;nan;nan;nan
Snailclimb/JavaGuide;https://github.com/Snailclimb/JavaGuide;Java;07/05/18 13:27:00;2;99459;0;137564;177891;31988;12775;nan;nan;nan;nan
iluwatar/java-design-patterns;https://github.com/iluwatar/java-design-patterns;Java;09/08/14 16:45:18;6;64686;0;265889;327323;50350;15554;3.0;1.0;2.0;12.0
MisterBooo/LeetCodeAnimation;https://github.com/MisterBooo/LeetCodeAnimation;Java;06/12/18 08:01:22;2;63136;0;278435;346933;55995;17016;1.0;1.0;6.0;26.0
elastic/elasticsearch;https://github.com/elastic/elasticsearch;Java;08/02/10 13:20:56;11;54061;42;2994249;3488784;466664;46050;4.0;1.0;4.0;20.0
spring-projects/spring-boot;https://github.com/spring-projects/spring-boot;Java;19/10/12 15:02:57;8;53955;87;3558855;4155055;567398;48633;4.0;1.0;2.0;11.0
doocs/advanced-java;https://github.com/doocs/advanced-java;Java;06/10/18 11:38:30;2;52700;0;3564532;4164905;570654;49588;nan;nan;nan;nan
kdn251/interviews;https://github.com/kdn251/interviews;Java;14/02/17 18:19:25;4;50531;0;3583839;4188842;575010;49910;1.0;1.0;5.0;20.0
macrozheng/mall;https://github.com/macrozheng/mall;Java;04/04/18 01:11:44;2;47194;1;3718829;4344103;593962;54849;3.0;1.0;11.0;33.5
ReactiveX/RxJava;https://github.com/ReactiveX/RxJava;Java;08/01/13 20:11:48;8;44334;215;4119862;4826243;674204;58743;1.0;1.0;1.0;5.0
spring-projects/spring-framework;https://github.com/spring-projects/spring-framework;Java;08/12/10 04:04:45;10;41845;202;5288218;6206516;884249;78434;3.0;1.0;3.0;12.0
google/guava;https://github.com/google/guava;Java;29/05/14 16:23:17;6;40581;31;6205824;7212327;971917;86519;2.0;1.0;2.0;9.0
square/okhttp;https://github.com/square/okhttp;Java;23/07/12 13:42:55;8;39583;0;6313042;7338033;988935;87706;3.0;1.0;3.0;16.0
square/retrofit;https://github.com/square/retrofit;Java;06/09/10 21:39:43;10;37702;27;6348599;7379221;994238;88159;3.0;1.0;1.0;6.0
TheAlgorithms/Java;https://github.com/TheAlgorithms/Java;Java;16/07/16 10:21:02;4;35971;0;6366361;7400011;997004;88436;1.0;1.0;7.0;26.0
apache/dubbo;https://github.com/apache/dubbo;Java;19/06/12 07:56:02;8;34824;28;6627216;7703802;1038925;90333;4.0;1.0;4.0;19.5
PhilJay/MPAndroidChart;https://github.com/PhilJay/MPAndroidChart;Java;25/04/14 14:29:47;6;32939;44;6679219;7765120;1048000;105937;5.0;1.0;5.0;25.0
bumptech/glide;https://github.com/bumptech/glide;Java;08/07/13 22:52:33;7;30848;36;6773866;7874318;1062079;107832;4.0;1.0;3.0;13.0
airbnb/lottie-android;https://github.com/airbnb/lottie-android;Java;06/10/16 22:42:42;4;30809;29;6826691;7932141;1066645;108464;4.0;1.0;5.0;19.0
kon9chunkit/GitHub-Chinese-Top-Charts;https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts;Java;05/09/19 03:01:56;1;30629;0;6831077;7937012;1066927;108953;nan;nan;nan;nan
Blankj/AndroidUtilCode;https://github.com/Blankj/AndroidUtilCode;Java;30/07/16 18:18:32;4;28995;116;6905196;8021056;1076229;110290;2.0;1.0;3.0;14.0
zxing/zxing;https://github.com/zxing/zxing;Java;12/10/11 14:07:27;9;27346;27;7107727;8232774;1085079;111624;4.0;2.0;7.0;31.0
netty/netty;https://github.com/netty/netty;Java;09/11/10 09:22:21;10;26184;0;7535238;8721438;1145198;115296;4.0;1.0;3.0;14.0
crossoverJie/JCSprout;https://github.com/crossoverJie/JCSprout;Java;17/12/17 09:06:50;3;25885;0;7554307;8750612;1154232;116439;1.0;1.0;2.0;14.5
NationalSecurityAgency/ghidra;https://github.com/NationalSecurityAgency/ghidra;Java;01/03/19 03:27:48;2;25666;0;10246570;11865000;1523679;193465;5.0;1.0;6.0;30.0
JakeWharton/butterknife;https://github.com/JakeWharton/butterknife;Java;05/03/13 08:18:59;8;25651;0;10263789;11885190;1526403;193757;2.0;1.0;1.0;8.0
proxyee-down-org/proxyee-down;https://github.com/proxyee-down-org/proxyee-down;Java;25/10/17 10:07:27;3;25511;49;10272556;11894935;1527177;193969;4.0;1.0;6.0;36.5
geekxh/hello-algorithm;https://github.com/geekxh/hello-algorithm;Java;29/05/20 05:47:09;0;25469;0;10293295;11925378;1535425;195779;1.0;1.0;7.0;23.5
skylot/jadx;https://github.com/skylot/jadx;Java;18/03/13 17:08:21;7;25416;14;10407789;12058668;1553679;196937;3.0;1.0;2.0;18.0
eugenp/tutorials;https://github.com/eugenp/tutorials;Java;29/04/13 18:26:36;7;25150;0;12344969;14180796;1727358;217182;4.0;1.0;2.0;10.5
ityouknow/spring-boot-examples;https://github.com/ityouknow/spring-boot-examples;Java;05/11/16 05:32:33;4;25024;0;12361721;14200026;1729613;217960;4.0;1.0;2.0;7.0
alibaba/arthas;https://github.com/alibaba/arthas;Java;29/08/18 17:15:57;2;24972;33;12483215;14347293;1752988;220980;3.0;1.0;6.0;24.0
ctripcorp/apollo;https://github.com/ctripcorp/apollo;Java;04/03/16 10:24:23;5;24049;30;12586421;14473143;1773939;223758;4.0;1.0;4.0;17.0
alibaba/druid;https://github.com/alibaba/druid;Java;03/11/11 05:12:51;9;23473;41;13068731;15055511;1873360;224472;5.0;2.0;2.0;20.0
greenrobot/EventBus;https://github.com/greenrobot/EventBus;Java;16/07/12 16:55:40;8;23229;5;13077975;15066540;1874883;224814;3.0;1.0;2.0;10.0
alibaba/fastjson;https://github.com/alibaba/fastjson;Java;03/11/11 06:58:52;9;23130;81;13294638;15333484;1924941;225162;2.0;1.0;2.0;12.0
scwang90/SmartRefreshLayout;https://github.com/scwang90/SmartRefreshLayout;Java;02/06/17 09:52:50;3;22286;8;13329747;15373769;1929512;225816;3.0;1.0;1.0;8.0
CymChad/BaseRecyclerViewAdapterHelper;https://github.com/CymChad/BaseRecyclerViewAdapterHelper;Java;10/04/16 07:40:11;4;21611;191;13342645;15389327;1931826;226202;3.0;1.0;3.0;13.0
Netflix/Hystrix;https://github.com/Netflix/Hystrix;Java;19/11/12 20:14:46;8;21241;79;13414621;15473984;1944042;227223;2.0;1.0;2.0;8.0
xkcoding/spring-boot-demo;https://github.com/xkcoding/spring-boot-demo;Java;10/11/17 06:27:29;3;20901;0;13467792;15537146;1952650;229187;4.0;1.0;1.0;7.0
zhangdaiscott/jeecg-boot;https://github.com/zhangdaiscott/jeecg-boot;Java;26/11/18 10:40:00;2;20691;13;14154358;16259528;1986991;237091;4.0;1.0;3.0;17.0
lenve/vhr;https://github.com/lenve/vhr;Java;04/01/18 08:57:51;3;20556;0;14186976;16295175;1989531;238023;2.0;1.0;7.0;20.0
SeleniumHQ/selenium;https://github.com/SeleniumHQ/selenium;Java;14/01/13 21:40:56;8;20325;27;15296172;17591347;2133969;282911;4.0;1.0;3.0;17.0
signalapp/Signal-Android;https://github.com/signalapp/Signal-Android;Java;15/12/11 20:01:12;9;20042;0;15750684;18108003;2195773;284057;5.0;1.0;4.0;19.0
hollischuang/toBeTopJavaer;https://github.com/hollischuang/toBeTopJavaer;Java;25/10/18 09:54:54;2;19865;0;15762676;18127716;2202799;284781;nan;nan;nan;nan
qiurunze123/miaosha;https://github.com/qiurunze123/miaosha;Java;14/09/18 04:36:24;2;19481;0;16068019;18480244;2248247;297835;3.0;1.0;3.0;13.0
dbeaver/dbeaver;https://github.com/dbeaver/dbeaver;Java;21/10/15 08:26:28;5;19391;123;16691135;19209830;2353308;299570;5.0;1.0;4.0;19.0
ReactiveX/RxAndroid;https://github.com/ReactiveX/RxAndroid;Java;19/08/14 03:46:38;6;19340;18;16693861;19213381;2353879;299843;1.0;1.0;1.0;6.0
google/gson;https://github.com/google/gson;Java;19/03/15 18:21:20;5;19296;0;16731000;19255516;2358565;300399;2.0;1.0;1.0;7.0
alibaba/easyexcel;https://github.com/alibaba/easyexcel;Java;06/02/18 03:14:08;3;19116;1;16760840;19290182;2363049;300937;5.0;1.0;4.0;16.0
seata/seata;https://github.com/seata/seata;Java;28/12/18 08:37:22;2;18899;30;17012484;19566310;2384509;304657;6.0;1.0;7.0;25.0
wuyouzhuguli/SpringAll;https://github.com/wuyouzhuguli/SpringAll;Java;02/05/18 02:48:44;2;18781;0;17045087;19605524;2390444;305550;4.0;1.0;2.0;10.0
halo-dev/halo;https://github.com/halo-dev/halo;Java;21/03/18 12:56:52;2;18279;68;17097005;19666587;2399122;307107;5.0;1.0;3.0;13.0
apache/kafka;https://github.com/apache/kafka;Java;15/08/11 18:06:16;9;18253;0;17856273;20549446;2513770;320026;4.0;1.0;5.0;23.0
looly/hutool;https://github.com/looly/hutool;Java;13/04/14 07:23:51;6;18220;81;18043276;20760101;2536256;322883;3.0;1.0;5.0;23.0
libgdx/libgdx;https://github.com/libgdx/libgdx;Java;10/08/12 19:34:38;8;18139;7;19066461;22032830;2732779;380659;3.0;1.0;5.0;27.0
alibaba/canal;https://github.com/alibaba/canal;Java;13/01/13 10:59:52;8;18091;20;19189842;22172367;2748086;381768;4.0;1.0;6.0;26.0
alibaba/spring-cloud-alibaba;https://github.com/alibaba/spring-cloud-alibaba;Java;01/12/17 20:49:15;3;17899;18;19237935;22231826;2758784;382603;5.0;1.0;3.0;18.0
square/picasso;https://github.com/square/picasso;Java;14/05/13 15:07:47;7;17898;7;19251218;22247391;2760808;382959;3.5;1.0;3.0;12.0
xuxueli/xxl-job;https://github.com/xuxueli/xxl-job;Java;28/11/15 12:59:34;5;17580;30;19295411;22297977;2766583;384008;3.0;1.0;7.0;31.0
Baseflow/PhotoView;https://github.com/Baseflow/PhotoView;Java;17/07/12 16:39:00;8;17558;5;19298633;22302118;2767243;384281;3.0;1.0;3.0;14.0
google/ExoPlayer;https://github.com/google/ExoPlayer;Java;13/06/14 21:19:18;6;17390;8;19700667;22739431;2801231;391016;5.0;1.0;5.0;24.0
jenkinsci/jenkins;https://github.com/jenkinsci/jenkins;Java;22/11/10 21:21:23;10;17035;88;20214336;23417113;2866493;493955;4.0;2.0;3.0;15.0
didi/DoraemonKit;https://github.com/didi/DoraemonKit;Java;14/08/18 10:32:07;2;16935;3;20411544;23650410;2898693;498534;2.0;1.0;3.0;14.0
nostra13/Android-Universal-Image-Loader;https://github.com/nostra13/Android-Universal-Image-Loader;Java;27/11/11 18:48:23;9;16801;0;20425567;23666367;2900387;499209;3.0;1.0;5.0;28.5
alibaba/nacos;https://github.com/alibaba/nacos;Java;15/06/18 06:49:27;2;16660;35;20606909;23873625;2925277;501399;3.0;1.0;4.0;20.0
facebook/fresco;https://github.com/facebook/fresco;Java;02/03/15 09:58:04;6;16510;43;21404470;25115842;3364135;510492;5.0;1.0;4.0;18.0
bazelbuild/bazel;https://github.com/bazelbuild/bazel;Java;12/06/14 16:00:38;6;16347;97;23034292;26989282;3565498;558471;5.0;1.0;5.0;21.0
apache/skywalking;https://github.com/apache/skywalking;Java;07/11/15 03:30:36;5;16336;43;23361974;27381229;3611038;578150;4.0;1.0;3.0;13.0
redisson/redisson;https://github.com/redisson/redisson;Java;11/01/14 14:06:25;7;15917;91;23617932;27683046;3656201;579080;4.0;1.0;4.0;18.0
shuzheng/zheng;https://github.com/shuzheng/zheng;Java;04/10/16 10:07:06;4;15880;0;23845187;27935079;3679714;583246;3.0;1.0;5.0;16.0
CarGuo/GSYVideoPlayer;https://github.com/CarGuo/GSYVideoPlayer;Java;13/11/16 12:34:31;4;15848;22;23892572;27993120;3689204;584430;2.0;1.0;4.0;14.0
apache/flink;https://github.com/apache/flink;Java;07/06/14 07:00:10;6;15742;0;26353810;30911381;4088048;648839;5.0;1.0;4.0;17.0
Tencent/tinker;https://github.com/Tencent/tinker;Java;06/09/16 06:57:52;4;15686;37;26408884;30974393;4095498;649391;3.0;1.0;6.0;27.0
linlinjava/litemall;https://github.com/linlinjava/litemall;Java;22/03/18 16:42:30;2;15537;8;26621102;31212524;4119270;655117;3.0;1.0;10.0;37.0
alibaba/Sentinel;https://github.com/alibaba/Sentinel;Java;04/04/18 06:37:33;2;15533;17;26733443;31341261;4135091;656229;3.0;1.0;4.0;20.0
mybatis/mybatis-3;https://github.com/mybatis/mybatis-3;Java;14/02/13 19:03:32;8;15216;33;26871362;31499887;4155222;657945;2.0;1.0;4.0;16.0
forezp/SpringCloudLearning;https://github.com/forezp/SpringCloudLearning;Java;08/04/17 10:06:56;3;15087;0;26991552;31640139;4166893;666343;4.0;1.0;1.0;5.0
dianping/cat;https://github.com/dianping/cat;Java;05/12/12 02:31:48;8;15082;0;27721193;32471338;4258841;689711;4.0;1.0;6.0;27.0
elunez/eladmin;https://github.com/elunez/eladmin;Java;14/12/18 08:54:24;2;14764;6;27744340;32497403;4261471;690237;4.0;1.0;2.0;11.0
android10/Android-CleanArchitecture;https://github.com/android10/Android-CleanArchitecture;Java;19/08/14 14:09:26;6;14750;0;27750137;32504440;4262470;690488;4.0;1.0;3.0;13.0
oracle/graal;https://github.com/oracle/graal;Java;14/01/16 17:11:35;5;14731;32;29503011;34489131;4480381;714758;4.0;1.0;4.0;16.0
brettwooldridge/HikariCP;https://github.com/brettwooldridge/HikariCP;Java;08/10/13 05:43:03;7;14709;0;29522470;34512324;4483870;715117;3.0;1.0;5.0;26.0
winterbe/java8-tutorial;https://github.com/winterbe/java8-tutorial;Java;16/03/14 17:25:43;6;14487;0;29526476;34517775;4485101;715370;1.0;1.0;2.0;19.0
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition;https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition;Java;24/11/12 00:14:41;8;14216;0;29529352;34521577;4485773;715634;2.0;1.0;2.0;9.0
openzipkin/zipkin;https://github.com/openzipkin/zipkin;Java;06/06/12 18:26:16;8;14116;62;29654768;34660773;4497391;718158;5.0;1.0;5.0;24.0
JeffLi1993/springboot-learning-example;https://github.com/JeffLi1993/springboot-learning-example;Java;06/02/17 07:02:25;4;14052;0;29664685;34673225;4499650;718464;3.0;1.0;2.0;8.0
lottie-react-native/lottie-react-native;https://github.com/lottie-react-native/lottie-react-native;Java;27/01/17 18:24:50;4;13923;0;29675718;34686784;4501484;718845;2.5;1.0;3.0;11.5
hdodenhof/CircleImageView;https://github.com/hdodenhof/CircleImageView;Java;17/01/14 16:44:46;7;13791;0;29677040;34688635;4501795;719078;5.0;2.0;2.0;12.0
apache/rocketmq;https://github.com/apache/rocketmq;Java;30/11/16 08:00:08;4;13736;1;29809434;34845803;4524800;720966;3.0;1.0;4.0;25.0
LMAX-Exchange/disruptor;https://github.com/LMAX-Exchange/disruptor;Java;21/09/12 13:42:24;8;13522;10;29832404;34872732;4528458;721432;3.0;1.0;3.0;14.0
lgvalle/Material-Animations;https://github.com/lgvalle/Material-Animations;Java;08/03/15 20:54:00;6;13520;0;29835271;34876529;4529160;721701;2.0;1.0;1.0;8.0
apache/shardingsphere;https://github.com/apache/shardingsphere;Java;18/01/16 12:49:26;5;13493;43;30222585;35332140;4585831;735635;4.0;1.0;2.0;11.0
TeamNewPipe/NewPipe;https://github.com/TeamNewPipe/NewPipe;Java;03/09/15 23:39:26;5;12942;97;30341192;35463723;4598236;736710;5.0;1.0;6.0;24.0
alibaba/ARouter;https://github.com/alibaba/ARouter;Java;14/12/16 01:27:49;4;12939;16;30349739;35474049;4599752;736998;2.0;1.0;2.0;10.0
dyc87112/SpringBoot-Learning;https://github.com/dyc87112/SpringBoot-Learning;Java;21/08/16 03:39:06;4;12876;0;30376354;35507789;4605704;739569;4.0;1.0;1.0;7.0
Tencent/QMUI_Android;https://github.com/Tencent/QMUI_Android;Java;21/04/17 10:03:18;3;12729;34;30460190;35604325;4618085;740144;3.0;1.0;2.0;11.0
orhanobut/logger;https://github.com/orhanobut/logger;Java;20/03/15 22:30:12;5;12703;16;30463111;35608161;4618784;740368;6.0;1.0;5.5;36.0
Bigkoo/Android-PickerView;https://github.com/Bigkoo/Android-PickerView;Java;28/12/14 01:46:38;6;12597;0;30475341;35622420;4620105;740709;2.0;1.0;1.0;7.0
Curzibn/Luban;https://github.com/Curzibn/Luban;Java;24/07/16 07:43:21;4;12371;6;30477686;35625511;4620586;740990;1.0;1.0;2.0;8.0
greenrobot/greenDAO;https://github.com/greenrobot/greenDAO;Java;22/10/11 16:15:14;9;12339;8;30505861;35659093;4625722;741911;4.0;1.0;4.0;25.0
facebook/stetho;https://github.com/facebook/stetho;Java;22/01/15 22:34:10;6;12166;12;30535472;35693627;4630335;742427;3.0;1.0;2.0;10.0
material-components/material-components-android;https://github.com/material-components/material-components-android;Java;05/12/16 16:11:29;4;12068;34;30709934;35893557;4654835;745801;4.0;1.0;3.0;13.0
daimajia/AndroidSwipeLayout;https://github.com/daimajia/AndroidSwipeLayout;Java;25/08/14 04:09:33;6;12007;18;30714272;35898948;4655611;746100;2.0;1.0;1.0;6.0
eclipse/deeplearning4j;https://github.com/eclipse/deeplearning4j;Java;27/11/13 02:03:28;7;11983;0;32391610;37862966;4903234;900050;7.0;2.0;8.0;26.0
Konloch/bytecode-viewer;https://github.com/Konloch/bytecode-viewer;Java;14/10/14 10:26:46;6;11939;48;32425255;37901640;4908070;900359;2.0;1.0;4.0;12.0
eclipse-vertx/vert.x;https://github.com/eclipse-vertx/vert.x;Java;17/06/11 14:54:55;9;11904;0;32607192;38109121;4931203;905087;4.0;1.0;4.0;22.0
zhihu/Matisse;https://github.com/zhihu/Matisse;Java;13/04/17 01:31:05;3;11873;15;32615246;38118773;4932513;905431;5.0;1.0;4.5;20.0
prestodb/presto;https://github.com/prestodb/presto;Java;09/08/12 01:03:37;8;11768;0;33879867;39571332;5118528;929560;6.0;1.0;6.0;27.0
daimajia/AndroidViewAnimations;https://github.com/daimajia/AndroidViewAnimations;Java;23/06/14 03:53:13;6;11734;9;33883792;39576171;5119156;929856;2.0;2.0;1.0;5.0
medcl/elasticsearch-analysis-ik;https://github.com/medcl/elasticsearch-analysis-ik;Java;16/12/11 09:01:45;9;11665;127;34591944;40285382;5119962;930122;4.5;1.0;13.0;40.0
mockito/mockito;https://github.com/mockito/mockito;Java;13/10/12 20:27:12;8;11599;156;34680456;40390100;5135340;933457;2.0;1.0;2.0;8.0
arduino/Arduino;https://github.com/arduino/Arduino;Java;17/09/10 19:10:36;10;11515;31;34887048;40813595;5230019;1047255;2.0;1.0;4.0;18.0
iBotPeaches/Apktool;https://github.com/iBotPeaches/Apktool;Java;19/03/12 17:46:53;8;11482;13;34905010;40834850;5232983;1047642;4.0;2.0;5.0;27.0
android-hacker/VirtualXposed;https://github.com/android-hacker/VirtualXposed;Java;01/12/17 09:00:58;3;11406;49;34972403;40915125;5244613;1049066;2.0;2.0;1.0;8.0
apache/hadoop;https://github.com/apache/hadoop;Java;28/08/14 07:00:08;6;11399;0;39159814;45550370;5663390;1097709;4.0;1.0;4.0;21.0
pinpoint-apm/pinpoint;https://github.com/pinpoint-apm/pinpoint;Java;20/10/14 09:27:22;6;11241;46;39724821;46226335;5763633;1110670;4.0;1.0;3.0;18.0
JessYanCoding/AndroidAutoSize;https://github.com/JessYanCoding/AndroidAutoSize;Java;17/08/18 09:04:19;2;11233;14;39731418;46234136;5764488;1111204;4.0;1.0;4.0;15.0
Tencent/VasSonic;https://github.com/Tencent/VasSonic;Java;01/08/17 08:35:13;3;11220;10;39781031;46288542;5768549;1112185;2.0;1.0;3.0;19.0
jfeinstein10/SlidingMenu;https://github.com/jfeinstein10/SlidingMenu;Java;30/06/12 05:14:23;8;11193;0;39995393;46507011;5772458;1139773;3.0;1.0;3.0;13.0
google/tink;https://github.com/google/tink;Java;06/06/14 16:21:09;6;11150;18;40244982;46806804;5806868;1153771;5.0;1.0;4.0;25.0
androidannotations/androidannotations;https://github.com/androidannotations/androidannotations;Java;06/01/12 08:48:03;9;11123;0;40312582;46887356;5819209;1155042;4.0;1.0;3.0;11.0
realm/realm-java;https://github.com/realm/realm-java;Java;20/04/12 09:18:42;8;11113;0;40511234;47112918;5843833;1158517;3.0;1.0;1.0;9.0
youth5201314/banner;https://github.com/youth5201314/banner;Java;22/04/16 05:50:25;4;11001;0;40517174;47120125;5844847;1158787;5.0;2.0;4.0;20.0
justauth/JustAuth;https://github.com/justauth/JustAuth;Java;31/01/19 09:42:20;2;10933;39;40528056;47132954;5846427;1159243;2.0;1.0;4.0;14.0
alibaba/vlayout;https://github.com/alibaba/vlayout;Java;27/02/17 08:11:47;4;10700;34;40546617;47155732;5850210;1159814;3.0;1.0;3.0;13.0
apache/druid;https://github.com/apache/druid;Java;23/10/12 19:08:07;8;10653;43;41621542;48365450;5974958;1171236;5.0;1.0;4.0;21.0
baomidou/mybatis-plus;https://github.com/baomidou/mybatis-plus;Java;18/08/16 10:06:53;4;10646;20;41664312;48413994;5980248;1171932;4.0;1.0;2.0;11.0
Netflix/zuul;https://github.com/Netflix/zuul;Java;13/03/13 18:53:57;8;10614;4;41700263;48455982;5985398;1172255;4.0;1.0;4.0;21.0
android-async-http/android-async-http;https://github.com/android-async-http/android-async-http;Java;20/02/11 03:25:07;10;10607;3;41712781;48470911;5987577;1172553;4.0;1.0;6.0;25.0
Yalantis/uCrop;https://github.com/Yalantis/uCrop;Java;05/01/16 13:41:06;5;10545;12;41770536;48536744;5992318;1176279;3.0;1.0;4.0;13.0
permissions-dispatcher/PermissionsDispatcher;https://github.com/permissions-dispatcher/PermissionsDispatcher;Java;15/08/15 21:41:05;5;10501;40;41785285;48555294;5994687;1177660;0.0;1.0;3.0;11.0
GoogleContainerTools/jib;https://github.com/GoogleContainerTools/jib;Java;22/01/18 18:30:43;3;10371;111;41868558;48653536;6007875;1180314;4.0;1.0;5.0;26.0
lipangit/JiaoZiVideoPlayer;https://github.com/lipangit/JiaoZiVideoPlayer;Java;06/02/16 11:04:24;5;10337;78;41876678;48663205;6009200;1180541;6.0;2.0;7.0;30.0
Netflix/eureka;https://github.com/Netflix/eureka;Java;26/07/12 22:23:07;8;10264;138;41946677;48745083;6020678;1181485;4.0;1.0;4.0;18.0
jeasonlzy/okhttp-OkGo;https://github.com/jeasonlzy/okhttp-OkGo;Java;15/01/16 10:35:24;5;10259;14;41970299;48772412;6024020;1181879;5.0;1.0;3.0;14.0
H07000223/FlycoTabLayout;https://github.com/H07000223/FlycoTabLayout;Java;09/11/15 01:53:19;5;10228;4;41975012;48778287;6024925;1182153;3.0;1.0;4.0;16.0
JakeWharton/ViewPagerIndicator;https://github.com/JakeWharton/ViewPagerIndicator;Java;04/08/11 17:13:44;9;10214;0;41980392;48784907;6025965;1182384;5.5;3.0;1.5;13.0
pagehelper/Mybatis-PageHelper;https://github.com/pagehelper/Mybatis-PageHelper;Java;09/06/14 15:32:30;6;10157;7;41999218;48806655;6028404;1182976;6.0;1.0;2.5;26.0
Tencent/APIJSON;https://github.com/Tencent/APIJSON;Java;21/11/16 12:03:29;4;10142;75;42013611;48824441;6031386;1183536;2.0;1.0;10.0;19.0
lingochamp/FileDownloader;https://github.com/lingochamp/FileDownloader;Java;22/12/15 11:17:16;5;10097;65;42038182;48854780;6036398;1185028;2.0;1.0;5.0;18.0
tbruyelle/RxPermissions;https://github.com/tbruyelle/RxPermissions;Java;29/09/15 13:55:09;5;10079;11;42040384;48857709;6036884;1185280;2.0;1.0;2.0;10.0
rzwitserloot/lombok;https://github.com/rzwitserloot/lombok;Java;08/06/09 19:46:41;11;10070;3;42155899;48984786;6048036;1186947;2.0;1.0;2.0;10.0
google/guice;https://github.com/google/guice;Java;28/05/14 23:18:53;6;10033;14;42251611;49095090;6062215;1187548;3.0;1.0;1.0;6.0
LuckSiege/PictureSelector;https://github.com/LuckSiege/PictureSelector;Java;04/01/17 07:47:39;4;10025;91;42293036;49141862;6067252;1188069;3.0;1.0;5.0;19.5
JessYanCoding/MVPArms;https://github.com/JessYanCoding/MVPArms;Java;06/08/16 08:49:56;4;9985;25;42307104;49158492;6069441;1188569;5.0;1.0;5.0;19.0
sqshq/piggymetrics;https://github.com/sqshq/piggymetrics;Java;29/03/15 17:56:31;5;9842;2;42327737;49181253;6071107;1189225;5.0;1.0;2.0;11.0
java-decompiler/jd-gui;https://github.com/java-decompiler/jd-gui;Java;25/03/15 05:28:41;5;9751;18;42348910;49207288;6075615;1189616;3.0;1.0;3.0;17.0
YunaiV/SpringBoot-Labs;https://github.com/YunaiV/SpringBoot-Labs;Java;12/09/18 14:51:46;2;9745;0;42436631;49314918;6093630;1193888;4.0;1.0;1.0;8.0
Anuken/Mindustry;https://github.com/Anuken/Mindustry;Java;30/04/17 01:24:29;3;9738;117;42572938;49473609;6113910;1194315;2.0;1.0;2.0;15.0
redis/jedis;https://github.com/redis/jedis;Java;11/06/10 13:04:43;10;9719;41;42619245;49530135;6123869;1194892;2.0;1.0;1.0;5.0
hyb1996/Auto.js;https://github.com/hyb1996/Auto.js;Java;27/01/17 01:01:16;4;9717;0;42719816;49647485;6140187;1197399;4.0;1.0;5.0;21.0
liaohuqiu/android-Ultra-Pull-To-Refresh;https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh;Java;13/11/14 03:13:10;6;9697;8;42728765;49658564;6141994;1197770;2.0;1.0;1.0;10.0
seaswalker/spring-analysis;https://github.com/seaswalker/spring-analysis;Java;09/09/16 07:46:32;4;9670;0;42782179;49715184;6144575;1198850;2.0;1.0;2.0;8.0
codecentric/spring-boot-admin;https://github.com/codecentric/spring-boot-admin;Java;25/07/14 11:39:13;6;9662;54;42887960;49828503;6151770;1199212;6.0;1.0;3.0;17.0
code4craft/webmagic;https://github.com/code4craft/webmagic;Java;23/04/13 12:57:36;7;9661;20;42907999;49852061;6155043;1199552;4.0;1.0;3.0;16.0
YoKeyword/Fragmentation;https://github.com/YoKeyword/Fragmentation;Java;23/02/16 08:54:55;5;9658;30;42921487;49868667;6157732;1199928;3.0;1.0;2.0;11.0
ksoichiro/Android-ObservableScrollView;https://github.com/ksoichiro/Android-ObservableScrollView;Java;08/11/14 14:45:20;6;9600;0;42945258;49897026;6161885;1200466;3.0;2.0;3.0;13.0
zhisheng17/flink-learning;https://github.com/zhisheng17/flink-learning;Java;01/01/19 07:38:28;2;9562;0;42968592;49925356;6166532;1200818;3.0;1.0;1.0;13.0
antlr/antlr4;https://github.com/antlr/antlr4;Java;04/02/10 01:36:28;11;9505;22;43248888;50258869;6208014;1214832;2.0;2.0;2.0;8.0
aosp-mirror/platform_frameworks_base;https://github.com/aosp-mirror/platform_frameworks_base;Java;21/10/08 18:20:37;12;9502;0;49017342;56827298;6971043;1322728;4.0;1.0;7.0;35.5
pockethub/PocketHub;https://github.com/pockethub/PocketHub;Java;08/09/11 16:52:50;9;9486;1;49058919;56874694;6976609;1323378;6.0;1.0;4.0;21.0
mission-peace/interview;https://github.com/mission-peace/interview;Java;20/07/14 21:27:31;6;9485;0;49095553;56917382;6981747;1324331;2.0;1.0;8.0;35.0
ben-manes/caffeine;https://github.com/ben-manes/caffeine;Java;13/12/14 08:45:11;6;9479;50;49176001;57009746;6992942;1325386;3.0;1.0;4.0;17.0
81813780/AVLoadingIndicatorView;https://github.com/81813780/AVLoadingIndicatorView;Java;24/10/15 20:18:33;5;9463;1;49179245;57014003;6993668;1325684;2.0;1.0;1.0;6.0
frank-lam/fullstack-tutorial;https://github.com/frank-lam/fullstack-tutorial;Java;13/04/18 01:50:10;2;9444;0;49230308;57089409;7014691;1331457;nan;nan;nan;nan
